,orderno,sentence
675,163-1,"Shanghai, as one of the megacities and economic centers of China, is facing critical water quality challenges."
676,163-2,"This study analyzed the impact of urbanization on the water quality in Shanghai, from 2007 to 2015, using remote sensing (RS) and geographic information system (GIS) techniques."
677,163-3,"Five measurements of water quality were employed: total discharged wastewater volume, general water quality levels, dissolved oxygen (DO), permanganate, and ammonia nitrogen."
678,163-4,The impacts of urban land-use changes on water quality were examined.
679,163-5,An urban index was extracted from satellite image classification and was used to quantify the anthropogenic activities.
680,163-6,"In the watershed level, unit watersheds were delineated from topography and stream segments."
681,163-7,Results showed that the primary contributors of water quality degradation in Shanghai were DO and ammonia nitrogen.
682,163-8,Both indicators expressed clear seasonal patterns that can be explained by agricultural activities and urbanization processes in Shanghai during the study period.
683,163-9,Water quality was also regulated through water use policies.
684,163-10,"For example, the degraded water quality in suburban outskirts and improved water quality was achieved through the enforced wastewater discharge regulations in central Shanghai."
685,163-11,"Analytical findings provide spatially explicit information for governmental management on protecting water resources and controlling wastewater emissions, thus, improving the quality of living environments in this ever-growing megacity."
686,164-1,"Modeling vegetation gross primary productivity (GPP) is crucial to understanding the land-atmosphere interactions and, hence, the global carbon cycle."
687,164-2,"While studies have demonstrated that satellite-based models could well simulate intra-annual variation of vegetation GPP, there is a need to understand our ability to capture interannual GPP variability."
688,164-3,This study compares the spatiotemporal performance of six satellite-based models in regional modeling of annual GPP for deciduous broadleaf forests across the eastern United States.
689,164-4,The 2001-2012 average annual gross primary productivities (AAGPPs) derived from different models have mismatched spatial patterns with divergent changing trends along both latitude and longitude.
690,164-5,Evaluation using flux tower data indicates that some models could have considerable biases on a yearly basis.
691,164-6,"All tested models, despite performing well on the 8-day basis because of the underlying strong seasonality in vegetation productivity, fail to capture interannual variation of GPP across sites and years."
692,164-7,Our study identifies considerable modeling uncertainties on a yearly basis even for an extensively studied biome of deciduous broadleaf forest at both site and large scales.
693,164-8,Improvements to the current satellite-based models have to be made to capture interannual GPP variation in addition to intra-annual variation.
694,165-1,The velocity of ice flow in the Antarctic is a crucial factor to determine ice discharge and thus future sea level rise.
695,165-2,"Feature tracking has been widely used in optical and radar imagery with fine resolution to retrieve flow parameters, although the primitive result may be contaminated by noise."
696,165-3,"In this paper, we present a series of modified post-processing steps, such as SNR thresholding by residual, complex Butterworth filters, and triple standard deviation truncation, to improve the performance of primitive results, and apply it to MODIS-based Mosaic of Antarctica (MOA) datasets."
697,165-4,The final velocity field result displays the general flow pattern of the peripheral Antarctic.
698,165-5,Seventy-eight out of 97 streamlines starting from seed points are smooth and continuous.
699,165-6,The RMSE with 178 manually selected tie points is within 60 m.a(-1).
700,165-7,"The systematic comparison with Making Earth System Data Records for Use in Research Environments (MEaSUREs) datasets in seven drainages shows that the results regarding high magnitude and large-scale ice shelf are highly reliable; absolute mean and median difference are less than 18 m.a(-1), while the result of localized drainage suffered from too much tracking error."
701,165-8,"The relative differences from manually selected and random points are controlled within 8% when speed is beyond 500 m.a(-1), but bias and uncertainty are pronounced when speed is lower than that."
702,165-9,The result through our accuracy control strategy highlights that coarse remote-sensed images such as Moderate Resolution Imaging Spectrophotometer (MODIS) can still offer the capability for comprehensive and long-term continental ice sheet surface velocity mapping.
703,166-1,The increasing frequency of fires inhibits the estimation of carbon reserves in boreal forest ecosystems because fires release significant amounts of carbon into the atmosphere through combustion.
704,166-2,"However, less is known regarding the effects of vegetation succession processes on ecosystem C-flux that follow fires."
705,166-3,This paper describes intra- and inter-annual vegetation restoration trajectories via MODIS time-series and Landsat data.
706,166-4,The temporal and spatial characteristics of the natural succession were analyzed from 2000 to 2016.
707,166-5,"Finally, we regressed post-fire MODIS EVI, LST and LSWI values onto GPP and NPP values to identify the main limiting factors during post-fire carbon exchange."
708,166-6,"The results show immediate variations after the fire event, with EVI and LSWI decreasing by 0.21 and 0.31, respectively, and the LST increasing to 6.89 degrees C."
709,166-7,"After this initial variation, subsequent fire-induced variations were significantly smaller; instead, seasonality began governing the change characteristics."
710,166-8,"The greatest differences in EVI, LST and LSWI were observed in August and September compared to those in other months (0.29, 6.9 and 0.35, respectively), including July, which was the second month after the fire."
711,166-9,"We estimated the mean EVI recovery periods under different fire intensities (approximately 10, 12 and 16 years): the LST recovery time is one year earlier than that of the EVI."
712,166-10,"GPP and NPP decreased after the fire by 22-45 g C.m(-2).month(-1) (30-80%) and 0.13-0.35 kg C.m(-2).year(-1) (20-60%), respectively."
713,166-11,"Excluding the winter period, when no photosynthesis occurred, the correlation between the EVI and GPP was the strongest, and the correlation coefficient varied with the burn intensity."
714,166-12,"When changes in EVI, LST and LSWI after the fire in the boreal forest were more significant, the severity of the fire determined the magnitude of the changes, and the seasonality aggravated these changes."
715,166-13,"On the other hand, the seasonality is another important factor that affects vegetation restoration and land-surface energy fluxes in boreal forests."
716,166-14,"The strong correlations between EVI and GPP/NPP reveal that the C-flux can be simply and directly estimated on a per-pixel basis from EVI data, which can be used to accurately estimate land-surface energy fluxes during vegetation restoration and reduce uncertainties in the estimation of forests' carbon reserves."
717,167-1,Flooding is extremely dangerous when a river overflows to inundate an urban area.
718,167-2,"From 1995 to 2016, North Korea (NK) experienced extensive damage to life and property almost every year due to a levee breach resulting from typhoons and heavy rainfall during the summer monsoon season."
719,167-3,"Recently, Hoeryeong City (2016) experienced heavy rain during Typhoon Lionrock, and the resulting flood killed and injured many people (68,900) and destroyed numerous buildings and settlements (11,600)."
720,167-4,The NK state media described it as the most significant national disaster since 1945.
721,167-5,"Thus, almost all annual repeat occurrences of floods in NK have had a severe impact, which makes it necessary to figure out the extent of floods to restore the damaged environment."
722,167-6,"However, this is difficult due to inaccessibility."
723,167-7,"Under such a situation, optical remote sensing (RS) data and radar RS data along with a logistic regression were utilized in this study to develop modeling for flood-damaged area delineation."
724,167-8,High-resolution web-based satellite imagery was also interpreted to confirm the results of the study.
725,168-1,"The continuum of the SWIR (short-wave infrared) signals from 1320 to 1650 nm contains valuable information for effectively diagnosing water, chlorophyll, and nitrogen content."
726,168-2,The SWIR spectra of in situ spectroradiometric data and airborne spectrometric images are frequently contaminated by significant noise.
727,168-3,"Based on a Logistic-Gaussian complex signal model (LGCM), the noise-free signals at 1330-1349 and 1411-1430 nm wavelengths can provide critical bases for restoring the 1350-1410 nm wavelength signals for a single point of data."
728,168-4,This paper proposes a generalized LGCM (GLGCM) technique to expand the ability of LGCM to process large data with variant reflectance values.
729,168-5,A 12-year-old red cypress plantation located in a central Taiwan temperate forest was selected for this study.
730,168-6,Hundreds of reflectance spectra of tree crowns were obtained using an ASD FR Spectroradiometer.
731,168-7,"The in-laboratory blank test showed that the GLGCM technique was able to achieve sufficient performance with an RMSE (root mean square error) of 0.0015 +/- 0.0005 and 0.0011 +/- 0.0005 for the front-edge and end-edge signal bases respectively, and 0.0014 +/- 0.0006 in between the two signal bases."
732,168-8,A significant level of noise between -0.2 and 0.4 was successfully removed from the in situ contaminated reflectance in the 1350-1410 nm wavelengths.
733,168-9,"The estimation bias for the signals of front-edge and end-edge bases was low, averaging 0.0031 +/- 0.0003 and 0.0032 +/- 0.0012."
734,168-10,The consistency between the blank test and the in situ experimental results indicates that the GLGCM technique has potential in using batch processing to fix the problem of the noisy SWIR spectra in spectroradiometeric data and also airborne spectrometric images.
735,169-1,"Yunnan pine shoot beetles (PSB), Tomicus yunnanensis and Tomicus minor have spread through southwestern China in the last five years, leading to millions of hectares of forest being damaged."
736,169-2,"Thus, there is an urgent need to develop an effective approach for accurate early warning and damage assessment of PSB outbreaks."
737,169-3,Remote sensing is one of the most efficient methods for this purpose.
738,169-4,"Despite many studies existing on the mountain pine beetle (MPB), very little work has been undertaken on assessing PSB stress using remote sensing."
739,169-5,The objective of this paper was to develop a spectral linear mixing model aided by radiative transfer (RT) and a new Yellow Index (YI) to simulate the reflectance of heterogeneous canopies containing damaged needles and quantitatively inverse their PSB stress.
740,169-6,"The YI, the fraction of dead needles, is a physically-explicit stress indicator that represents the plot shoots damage ratio (plot SDR)."
741,169-7,"The major steps of this methods include: (1) LIBERTY2 was developed to simulate the reflectance of damaged needles using YI to linearly mix the green needle spectra with the dead needle spectra; (2) LIBERTY2 was coupled with the INFORM model to scale the needle spectra to the canopy scale; and (3) a look-up table (LUT) was created against Sentinel 2 (S2) imagery and inversed leaf chlorophyll content (LCC), green leaf area index (LAI) and plot SDR."
742,169-8,"The results show that (1) LIBERTY2 effectively simulated the reflectance spectral values on infested needles (mean relative error (MRE) = 1.4-18%), and the YI can indicate the degrees of needles damage; (2) the coupled LIBERTY2-INFORM model is suitable to estimate LAI (R-2 = 0.73, RMSE = 0.17 m m(-2), NRMSE = 11.41% and the index of agreement (IOA) = 0.92) and LCC (R-2 = 0.49, RMSE = 56.24 mg m(-2), NRMSE = 25.22% and IOA = 0.72), and is better than the original LIBERTY model (LAI: R-2 = 0.38, RMSE = 0.43 m m(-2), NRMSE = 28.85% and IOA = 0.68; LCC: R-2 = 0.34, RMSE = 76.44 mg m(-2), NRMSE = 34.23% and IOA = 0.57); and (3) the inversed YI is positively correlated with the measured plot SDR (R-2 = 0.40, RMSE = 0.15)."
743,169-9,"We conclude that the LIBERTY2 model improved the reflectance simulation accuracy of both the needles and canopies, making it suitable for assessing PSB stress."
744,169-10,The YI has the potential to assess PSB damage.
745,17-1,"The temporal dynamics of optimum stomatal conductance (g(smax)), as well differences between C-3 and C-4 crops, have rarely been considered in previous remote sensing (RS)-based Jarvis-type canopy conductance (G(c)) models."
746,17-2,"To address this issue, a RS-based two-leaf Jarvis-type G(c) model, RST-G(c), was optimized and validated for C-3 and C-4 crops using 19 crop flux sites across Europe, North America, and China."
747,17-3,"RST-G(c) included restrictive functions for air temperature, vapor pressure deficit, and soil water deficit, and it used satellite-retrieved NDVI to formulate the temporal variation of g(smax) defined at a photosynthetic photon flux density (PPFD) of 2000 mu mol m(-2) s(-1) (g(sm, 2000))."
748,17-4,Results showed that the parameters of RST-G(c) differed between C-3 and C-4 crops.
749,17-5,RST-G(c) successfully simulated variations in Penman-Monteith (PM)-derived daytime G(c) with R-2 = 0.57 for both C-3 and C-4 crops.
750,17-6,RST-G(c) was incorporated into a revised evapotranspiration (ET) model and a new gross primary productivity (GPP) model.
751,17-7,The two models were validated at 19 crop flux sites.
752,17-8,Daily mean inputs were generally incorporated into a PM approach to model daily transpiration.
753,17-9,"This is inappropriate because available energy and stomatal conductance vary significantly on a diurnal basis, with both non-linearly regulating transpiration rate."
754,17-10,The PM approach with daily mean inputs produced unreasonable transpiration rate estimates.
755,17-11,"Efforts were made in the revised ET model (denoted as RS-WBPM2), which was modified from the water balance based RS-PM (RS-WBPM) model of Bai et al. (2017), to address this issue by calculating transpiration using daytime inputs."
756,17-12,"The photosynthesis-based stomatal conductance model, developed by Ball et al. (1987a) and improved by Leuning (1995) (BBL model), was inverted to calculate GPP using canopy conductance; the inverted model was denoted as IBBL."
757,17-13,"Cross validation showed good agreement between flux tower measurements and modeled ET (R-2 = 0.79, RMSE (root mean standard error) = 20.66 W m(-2) for daily ET and R-2 = 0.87, RMSE = 15.32 W m(-2) for 16-day ET) and GPP (R-2 = 0.83, RMSE = 2.49 gC m(-2) d(-1) for daily GPP and R-2 = 0.86, RMSE = 1.96 gC m(-2) d(-1) for 16-day GPP) for the two models."
758,17-14,Within-site validations demonstrated the successful performance of the two models at 18 sites (albeit with one outlier).
759,17-15,Inter-site variations in ET and GPP were also successfully reproduced by the models.
760,17-16,"NDVI-derived g(sm, 2000) outperformed the fixed g(sm, 2000) in both ET and GPP estimates."
761,17-17,The results imply that the RS-WBPM2 and IBBL models are useful tools for modeling regional and global ET and GPP.
762,170-1,Aerial infrared point target detection under nonstationary background clutter is a crucial yet challenging issue in the field of remote sensing.
763,170-2,This paper presents a novel omnidirectional multiscale morphological method for aerial point target detection based on a dual-band model.
764,170-3,"Considering that the clutter noise conforms to the Gaussian distribution, the single-band detection model under the Neyman-Pearson (NP) criterion is established first, and then the optimal fused probability of detection under the dual-band model is deduced according to the And fusion rule."
765,170-4,"Next, the omnidirectional multiscale morphological Top-hat algorithm is proposed to extract all the possible targets distributing in every direction, and the local difference criterion is employed to eliminate the residual background edges further."
766,170-5,The dynamic threshold-to-noise ratio (TNR) is adjusted to obtain the optimal probability of detection under the constant false alarm rate (CFAR) criterion.
767,170-6,"Finally, the dim point target is extracted after dual-band data correlation."
768,170-7,The experimental result demonstrates that the proposed method achieves a high probability of detection and performs well with respect to suppressing complex background when compared with common algorithms.
769,170-8,"In addition, it also has the advantage of low complexity and easy implementation in real-time systems."
770,171-1,Phytoplankton community structure and phytoplankton size class (PSC) are linked to ecological and biogeochemical changes in the oceanic environment.
771,171-2,"Many models developed to obtain the fraction of PSCs from satellite remote sensing have only been evaluated in open oceans, and very limited effort has been carried out to report on the performance of these PSC models in productive continental shelf waters."
772,171-3,"In this study, we evaluated the performance of nine PSC models in the coastal Northwest Atlantic (NWA) by comparison of in situ phytoplankton pigment measurements with coincidental satellite data from the Sea-Viewing Wide Field-of-View Sensor (SeaWiFS), Moderate-resolution Imaging Spectroradiometer (MODIS), and the Visible Infrared Imaging Radiometer Suite (VIIRS)."
773,171-4,"Our results show that no PSC model retrieved all three phytoplankton size classes (pico-, nano-, and micro-phytoplankton) with reliable accuracy in the region of interest."
774,171-5,"In particular, these PSC models showed poor performance for retrieval of the picophytoplankton fraction of total phytoplankton in our study region, which could be related to the under-representation of pico-dominated samples in the productive waters of the NWA."
775,171-6,"For the accuracy of retrieved microphytoplankton and combined nano-pico phytoplankton fraction, the regional model developed by Devred et al. (2011) yielded the best result, followed by the model of Brewin et al. (2011)."
776,171-7,The model of Devred et al. (2011) was applied to satellite-derived chlorophyll-a concentration from the Ocean Color Climate Change Initiative (OC-CCI) archive in the NWA from 1998 to 2016.
777,171-8,We report solely on the microphytoplankton biomass and fraction given the inverse relationship that exists with the nano-pico class.
778,171-9,The multi-decadal trend along with the deseasonalized trend of microphytoplankton fraction was computed and analyzed for six biogeochemical provinces located in the NWA.
779,171-10,"Over the 19-year time series, there were significant, positive trends for four of the six provinces, with a slope of 0.36%.yr(-1) in the Northwest Continental Shelf (NWCS), 0.25%.yr(-1) in the Arctic Waters (ARCT), 0.12%.yr(-1) in the Slope Waters (SW) and 0.06%.yr(-1) in the Gulf Stream (GFST)."
780,171-11,"Strong positive anomalies of microphytoplankton fraction were found in winter months in NWCS between 2009 and 2014, which could be associated with changes in environmental factors."
781,172-1,Droughts can severely reduce the productivity of agricultural lands and forests.
782,172-2,The United States Department of Agriculture (USDA) Southeast Regional Climate Hub (SERCH) has launched the Lately Identified Geospecific Heightened Threat System (LIGHTS) to inform its users of potential water deficiency threats.
783,172-3,The system identifies droughts and other climate anomalies such as extreme precipitation and heat stress.
784,172-4,"However, the LIGHTS model lacks input from soil moisture observations."
785,172-5,This research aims to develop a simple and easy-to-interpret soil moisture and drought warning indexstandardized soil moisture index (SSI)by fusing the space-borne Soil Moisture Active Passive (SMAP) soil moisture data with the North American Land Data Assimilation System (NLDAS) Noah land surface model (LSM) output.
786,172-6,Ground truth soil moisture data from the Soil Climate Analysis Network (SCAN) were collected for validation.
787,172-7,"As a result, the accuracy of using SMAP to monitor soil moisture content generally displayed a good statistical correlation with the SCAN data."
788,172-8,The validation through the Palmer drought severity index (PDSI) and normalized difference water index (NDWI) suggested that SSI was effective and sensitive for short-term drought monitoring across large areas.
789,173-1,The accuracy of three satellite models of primary production (PP) of varying complexity was assessed against 95 in situ C-14 uptake measurements from the North East Atlantic Ocean (NEA).
790,173-2,"The models were run using the European Space Agency (ESA), Ocean Colour Climate Change Initiative (OC-CCI) version 3.0 data."
791,173-3,"The objectives of the study were to determine which is the most accurate PP model for the region in different provinces and seasons, what is the accuracy of the models using both high (daily) and low (eight day) temporal resolution OC-CCI data, and whether the performance of the models is improved by implementing a photoinhibition function?"
792,173-4,"The Platt-Sathyendranath primary production model (PPPSM) was the most accurate over all NEA provinces and, specifically, in the Atlantic Arctic province (ARCT) and North Atlantic Drift (NADR) provinces."
793,173-5,"The implementation of a photoinhibition function in the PPPSM reduced its accuracy, especially at lower range PP."
794,173-6,"The Vertical Generalized Production Model-VGPM (PPVGPM) tended to over-estimate PP, especially in summer and in the NADR."
795,173-7,The accuracy of PPVGPM improved with the implementation of a photoinhibition function in summer.
796,173-8,"The absorption model of primary production (PPAph), with and without photoinhibition, was the least accurate model for the NEA."
797,173-9,Mapped images of each model showed that the PPVGPM was 150% higher in the NADR compared to PPPSM.
798,173-10,"In the North Atlantic Subtropical Gyre (NAST) province, PPAph was 355% higher than PPPSM, whereas PPVGPM was 215% higher."
799,173-11,"A sensitivity analysis indicated that chlorophyll-a (Chl a), or the absorption of phytoplankton, at 443 nm (a(ph) (443)) caused the largest error in the estimation of PP, followed by the photosynthetic rate terms and then the irradiance functions used for each model."
800,174-1,Fusing multiple change detection results has great potentials in dealing with the spectral variability in multitemporal very high-resolution (VHR) remote sensing images.
801,174-2,"However, it is difficult to solve the problem of uncertainty, which mainly includes the inaccuracy of each candidate change map and the conflicts between different results."
802,174-3,Dempster-Shafer theory (D-S) is an effective method to model uncertainties and combine multiple evidences.
803,174-4,"Therefore, in this paper, we proposed an urban change detection method for VHR images by fusing multiple change detection methods with D-S evidence theory."
804,174-5,"Change vector analysis (CVA), iteratively reweighted multivariate alteration detection (IRMAD), and iterative slow feature analysis (ISFA) were utilized to obtain the candidate change maps."
805,174-6,The final change detection result is generated by fusing the three evidences with D-S evidence theory and a segmentation object map.
806,174-7,"The experiment indicates that the proposed method can obtain the best performance in detection rate, false alarm rate, and comprehensive indicators."
807,175-1,"Despite recent advances of deep Convolutional Neural Networks (CNNs) in various computer vision tasks, their potential for classification of multispectral remote sensing images has not been thoroughly explored."
808,175-2,"In particular, the applications of deep CNNs using optical remote sensing data have focused on the classification of very high-resolution aerial and satellite data, owing to the similarity of these data to the large datasets in computer vision."
809,175-3,"Accordingly, this study presents a detailed investigation of state-of-the-art deep learning tools for classification of complex wetland classes using multispectral RapidEye optical imagery."
810,175-4,"Specifically, we examine the capacity of seven well-known deep convnets, namely DenseNet121, InceptionV3, VGG16, VGG19, Xception, ResNet50, and InceptionResNetV2, for wetland mapping in Canada."
811,175-5,"In addition, the classification results obtained from deep CNNs are compared with those based on conventional machine learning tools, including Random Forest and Support Vector Machine, to further evaluate the efficiency of the former to classify wetlands."
812,175-6,The results illustrate that the full-training of convnets using five spectral bands outperforms the other strategies for all convnets.
813,175-7,"InceptionResNetV2, ResNet50, and Xception are distinguished as the top three convnets, providing state-of-the-art classification accuracies of 96.17%, 94.81%, and 93.57%, respectively."
814,175-8,"The classification accuracies obtained using Support Vector Machine (SVM) and Random Forest (RF) are 74.89% and 76.08%, respectively, considerably inferior relative to CNNs."
815,175-9,"Importantly, InceptionResNetV2 is consistently found to be superior compared to all other convnets, suggesting the integration of Inception and ResNet modules is an efficient architecture for classifying complex remote sensing scenes such as wetlands."
816,176-1,In-situ monitoring of lake water quality in synergy with satellite remote sensing represents the latest scientific trend in many water quality monitoring programs worldwide.
817,176-2,This study investigated the suitability of the Operational Land Imager (OLI) instrument onboard the Landsat 8 satellite platform in accurately estimating key water quality parameters such as chlorophyll-a and nutrient concentrations.
818,176-3,As a case study the largest freshwater body of Greece (Trichonis Lake) was used.
819,176-4,Two Landsat 8 images covering the study site were acquired on 30 October 2013 and 30 August 2014 respectively.
820,176-5,Near concurrent in-situ observations from two water sampling campaigns were also acquired from 22 stations across the lake under study.
821,176-6,In-situ measurements (nutrients and chlorophyll-a concentrations) were statistically correlated with various spectral band combinations derived from the Landsat imagery of year 2014.
822,176-7,"Subsequently, the most statistically promising predictive models were applied to the satellite image of 2013 and validation was conducted using in-situ data of 2013 as reference."
823,176-8,"Results showed a relatively variable statistical relationship between the in-situ and reflectances (R logchl-a: 0.58, R NH4+: 0.26, R chl-a: 0.44)."
824,176-9,Correlation coefficient (R) values reported of up to 0.7 for ammonium concentrations and also up to 0.5 and up to 0.4 for chl-a concentration and chl-a concentrations respectively.
825,176-10,"These results represent a higher accuracy of Landsat 8 in comparison to its predecessors in the Landsat satellites series, as evidenced in the literature."
826,176-11,"Our findings suggest that Landsat 8 has a promising capability in estimating water quality components in an oligotrophic freshwater body characterized by a complete absence of any quantitative, temporal and spatial variance, as is the case of Trichonis lake."
827,176-12,"Yet, even with the presence of a lot of ground information as was the case in our study, a quantitatively accurate estimation of water quality constituents in coastal/inland waters remains a great challenge."
828,176-13,"The launch of sophisticated spaceborne sensing systems, such as that of Landsat 8, can assist in improving our ability to estimate freshwater lake properties from space."
829,177-1,The Aquarius end-of-mission (Version 5) salinity data set was released in December 2017.
830,177-2,This article gives a comprehensive overview of the main steps of the Level 2 salinity retrieval algorithm.
831,177-3,"In particular, we will discuss the corrections for wind induced surface roughness, atmospheric oxygen absorption, reflected galactic radiation and side-lobe intrusion from land surfaces."
832,177-4,"Most of these corrections have undergone major updates from previous versions, which has helped mitigating temporal and zonal biases."
833,177-5,Our article also discusses the ocean target calibration for Aquarius Version 5.
834,177-6,We show how formal error estimates for the Aquarius retrievals can be obtained by perturbing the input to the algorithm.
835,177-7,The performance of the Aquarius Version 5 salinity retrievals is evaluated against salinity measurements from the ARGO network and the HYCOM model.
836,177-8,"When stratified as function of sea surface temperature or sea surface wind speed, the difference between Aquarius Version 5 and ARGO is within +/- 0.1 psu."
837,177-9,The estimated global RMS uncertainty for monthly 100 km averages is 0.128 psu for the Aquarius Version 5 retrievals.
838,177-10,"Finally, we show how the Aquarius Version 5 salinity retrieval algorithm is adapted to retrieve salinity from the Soil-Moisture Active Passion (SMAP) mission."
839,178-1,"A detailed and state-of-the-art landslide inventory map including precise landslide location is greatly required for landslide susceptibility, hazard, and risk assessments."
840,178-2,"Traditional techniques employed for landslide detection in tropical regions include field surveys, synthetic aperture radar techniques, and optical remote sensing."
841,178-3,"However, these techniques are time consuming and costly."
842,178-4,"Furthermore, complications arise for the generation of accurate landslide location maps in these regions due to dense vegetation in tropical forests."
843,178-5,"Given its ability to penetrate vegetation cover, high-resolution airborne light detection and ranging (LiDAR) is typically employed to generate accurate landslide maps."
844,178-6,The object-based technique generally consists of many homogeneous pixels grouped together in a meaningful way through image segmentation.
845,178-7,"In this paper, in order to address the limitations of this approach, the final decision is executed using Dempster-Shafer theory (DST) rule combination based on probabilistic output from object-based support vector machine (SVM), random forest (RF), and K-nearest neighbor (KNN) classifiers."
846,178-8,"Therefore, this research proposes an efficient framework by combining three object-based classifiers using the DST method."
847,178-9,"Consequently, an existing supervised approach (i.e., fuzzy-based segmentation parameter optimizer) was adopted to optimize multiresolution segmentation parameters such as scale, shape, and compactness."
848,178-10,"Subsequently, a correlation-based feature selection (CFS) algorithm was employed to select the relevant features."
849,178-11,"Two study sites were selected to implement the method of landslide detection and evaluation of the proposed method (subset ""A"" for implementation and subset ""B"" for the transferrable)."
850,178-12,"The DST method performed well in detecting landslide locations in tropical regions such as Malaysia, with potential applications in other similarly vegetated regions."
851,179-1,Afromontane forests are biodiversity hotspots and provide essential ecosystem services.
852,179-2,"However, they are under pressure as a result of an expanding human population and the impact of climate change."
853,179-3,In many instances electric fencing has become a necessary management strategy to protect forest integrity and reduce human-wildlife conflict.
854,179-4,"The impact of confining hitherto migratory elephant populations within forests remains unknown, and monitoring largely inaccessible areas is challenging."
855,179-5,"We explore the application of remote sensing to monitor the impact of confinement, employing the Breaks For Additive Season and Trend (BFAST) time-series decomposition method over a 15-year period on Moderate Resolution Imaging Spectroradiometer (MODIS) Enhanced Vegetation Index (EVI) (MOD13Q1) datasets for two Kenyan forests."
856,179-6,"Results indicated that BFAST was able to identify disturbances from anthropogenic, fire and elephant damage."
857,179-7,"Sequential monitoring enabled the detection of gradual changes in the forest canopy, with degradation and regeneration being observed in both sites."
858,179-8,"Annual rates of forest loss in both areas were significantly lower than reported in other studies on Afromontane forests, suggesting that installing fences has reduced land-use conversion from human-related disturbances."
859,179-9,"Negative changes in EVI were predominantly gradual degradation rather than large-scale, abrupt clearings of the forest."
860,179-10,Results presented here demonstrate that BFAST can be used to monitor biotic and abiotic drivers of change in Afromontane forests.
861,18-1,"The occurrence of water shortages ascribed to projected climate change, especially in the Mediterranean region, fosters the interest in remote sensing (RS) applications to optimize water use in agriculture."
862,18-2,Remote sensing evapotranspiration and water demand estimation over large cultivated areas were used to manage irrigation to minimize losses during the crop growing cycle.
863,18-3,"The research aimed to explore the potential of the MultiSpectral Instrument (MSI) sensor on board Sentinel-2A to estimate crop parameters, mainly surface albedo (alpha) and Leaf Area Index (LAI) that influence the dynamics of potential evapotranspiration (ETp) and Irrigation Water Requirements (IWR) of processing tomato crop (Solanum lycopersicum L.)."
864,18-4,Maximum tomato ETp was calculated according to the FAO Penman-Monteith equation (FAO-56 PM) using appropriate values of canopy parameters derived by processing Sentinel-2A data in combination with daily weather information.
865,18-5,"For comparison, we used the actual crop evapotranspiration (ETa) derived from the soil water balance (SWB) module in the Environmental Policy Integrated Climate (EPIC) model and calibrated with in-situ Root Zone Soil Moisture (RZSM)."
866,18-6,"The experiment was set up in a privately-owned farm located in the Tarquinia irrigation district (Central Italy) during two growing seasons, within the framework of the EU Project FATIMA (FArming Tools for external nutrient Inputs and water Management)."
867,18-7,"The results showed that canopy growth, maximum evapotranspiration (ETp) and IWR were accurately inferred from satellite observations following seasonal rainfall and air temperature patterns."
868,18-8,"The net estimated IWR from satellite observations for the two-growing seasons was about 272 and 338 mm in 2016 and 2017, respectively."
869,18-9,"Such estimated requirement was lower compared with the actual amount supplied by the farmer with sprinkler and drip micro-irrigation system in both growing seasons resulting in 364 (276 mm drip micro-irrigation, and 88 mm sprinkler) and 662 (574 mm drip micro-irrigation, and 88 mm sprinkler) mm, respectively."
870,18-10,"Our findings indicated the suitability of Sentinel-2A to predict tomato water demand at field level, providing useful information for optimizing the irrigation over extended farmland."
871,180-1,The photochemical reflectance index (PRI) is calculated from vegetation narrowband reflectance in two bands in the visible part of the spectrum.
872,180-2,Variations in PRI are associated with changes in the xanthophyll cycle pigments which regulate the light use efficiency of vegetation.
873,180-3,Correlations have been found between remotely-sensed PRI and various photosynthetic productivity parameters at the scales from leaves to landscapes.
874,180-4,Environmental satellites can provide only an instantaneous value of this index at the time of overpass.
875,180-5,The diurnal course of needle (leaf) PRI needs to be known in order to link the instantaneous values robustly with photosynthetic parameters at time scales exceeding one day.
876,180-6,This information is not currently available in the scientific literature.
877,180-7,Here we present the daily cycle of Scots pine needle and canopy PRI in a southern boreal forest zone in the presence of direct solar radiation during the peak growing season of two consecutive years.
878,180-8,We found the PRI of the needles which are exposed to direct radiation to have a distinct diurnal cycle with constant or slightly increasing values before noon and a daily minimum in the afternoon.
879,180-9,The cycle in needle PRI was not correlated with that in the incident photosynthetic photon flux density (PPFD).
880,180-10,"However, when PPFD was above 1000 mol m(-2) s(-1), approximately between 8 a.m. and 5 p.m., needle PRI was correlated with the light use efficiency (LUE), measured with shoot chambers."
881,180-11,"The timing of the minimum needle PRI coincided with the minimum canopy value, as measured by an independent sensor above the canopy, but the correlation between the two variables was not significant."
882,180-12,Our field results corroborate the applicability of needle PRI in monitoring the daily variation in LUE.
883,180-13,"However, to apply this to remote sensing of seasonal photosynthetic productivity, the daily cycle of leaf PRI needs to be known for the specific vegetation type."
884,181-1,"Terrestrial evapotranspiration (ET) is a central process in the climate system, is a major component in the terrestrial water budget, and is responsible for the distribution of water and energy on land surfaces especially in arid and semiarid areas."
885,181-2,"In order to inform water management decisions especially in scarce water environments, it is important to assess ET vegetation use by differentiating irrigated socio-economic areas and natural ecosystems."
886,181-3,The global remote sensing ET product MOD16 has proven to underestimate ET in semiarid regions where ET is very sensitive to soil moisture.
